Package                           Version                Build                  Size       Kind   Source
libarrow-compute                  24.0.0                 h081cd8e_0_cpu         1.7 MiB    conda  https://conda.anaconda.org/conda-forge/
libarrow-dataset                  24.0.0                 h7d8d6a5_0_cpu         418.6 KiB  conda  https://conda.anaconda.org/conda-forge/
libarrow-substrait                24.0.0                 h524e9bd_0_cpu         353.5 KiB  conda  https://conda.anaconda.org/conda-forge/
libblas                           3.11.0                 6_hf2e6a31_mkl         66.5 KiB   conda  https://conda.anaconda.org/conda-forge/
libbrotlicommon                   1.2.0                  hfd05255_1             80.1 KiB   conda  https://conda.anaconda.org/conda-forge/
libbrotlidec                      1.2.0                  hfd05255_1             33.6 KiB   conda  https://conda.anaconda.org/conda-forge/
libbrotlienc                      1.2.0                  hfd05255_1             247 KiB    conda  https://conda.anaconda.org/conda-forge/
libcblas                          3.11.0                 6_h2a3cdd5_mkl         66.6 KiB   conda  https://conda.anaconda.org/conda-forge/
libcrc32c                         1.1.2                  h0e60522_0             25.1 KiB   conda  https://conda.anaconda.org/conda-forge/
libcurl                           8.20.0                 h8206538_0             383.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libdeflate                        1.25                   h51727cc_0             153.1 KiB  conda  https://conda.anaconda.org/conda-forge/
libevent                          2.1.12                 h3671451_1             400.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libexpat                          2.8.0                  hac47afa_0             69.4 KiB   conda  https://conda.anaconda.org/conda-forge/
libffi                            3.5.2                  h3d046cb_0             44.8 KiB   conda  https://conda.anaconda.org/conda-forge/
libfreetype                       2.14.3                 h57928b3_0             8.2 KiB    conda  https://conda.anaconda.org/conda-forge/
libfreetype6                      2.14.3                 hdbac1cb_0             332.2 KiB  conda  https://conda.anaconda.org/conda-forge/
libgcc                            15.2.0                 h8ee18e1_18            800.8 KiB  conda  https://conda.anaconda.org/conda-forge/
libgd                             2.3.3                  h4974f7c_12            162.8 KiB  conda  https://conda.anaconda.org/conda-forge/
libgdal-core                      3.12.4                 hcd4ed55_2             10.2 MiB   conda  https://conda.anaconda.org/conda-forge/
libglib                           2.88.1                 h7ce1215_1             4.3 MiB    conda  https://conda.anaconda.org/conda-forge/
libgomp                           15.2.0                 h8ee18e1_18            648.3 KiB  conda  https://conda.anaconda.org/conda-forge/
libgoogle-cloud                   3.3.0                  h2b231ac_1             16.7 KiB   conda  https://conda.anaconda.org/conda-forge/
libgoogle-cloud-storage           3.3.0                  he04ea4c_1             16.7 KiB   conda  https://conda.anaconda.org/conda-forge/
libgrpc                           1.78.1                 h9ff2b3e_0             11 MiB     conda  https://conda.anaconda.org/conda-forge/
libhwloc                          2.12.2                 default_h4379cf1_1000  2.3 MiB    conda  https://conda.anaconda.org/conda-forge/
libhwy                            1.4.0                  h172a326_0             549.4 KiB  conda  https://conda.anaconda.org/conda-forge/
libiconv                          1.18                   hc1393d2_2             680.6 KiB  conda  https://conda.anaconda.org/conda-forge/
libintl                           0.22.5                 h5728263_3             93.3 KiB   conda  https://conda.anaconda.org/conda-forge/
libjpeg-turbo                     3.1.4.1                hfd05255_0             823.1 KiB  conda  https://conda.anaconda.org/conda-forge/
libjxl                            0.11.2                 h932607e_1             1.1 MiB    conda  https://conda.anaconda.org/conda-forge/
libkml                            1.3.0                  h68a222c_1023          1.6 MiB    conda  https://conda.anaconda.org/conda-forge/
liblapack                         3.11.0                 6_hf9ab0e9_mkl         78.7 KiB   conda  https://conda.anaconda.org/conda-forge/
liblzma                           5.8.3                  hfd05255_0             104 KiB    conda  https://conda.anaconda.org/conda-forge/
libmpdec                          4.0.0                  hfd05255_1             87.3 KiB   conda  https://conda.anaconda.org/conda-forge/
libopentelemetry-cpp              1.26.0                 hc88f397_0             3.7 MiB    conda  https://conda.anaconda.org/conda-forge/
libopentelemetry-cpp-headers      1.26.0                 h57928b3_0             426.3 KiB  conda  https://conda.anaconda.org/conda-forge/
libparquet                        24.0.0                 h7051d1f_0_cpu         944.2 KiB  conda  https://conda.anaconda.org/conda-forge/
